;分区名称|显示名称|服务器名|服务器 IP|端口|登陆密码
;-------------------------------------------------
老兵沉默复古经典|┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅|老兵沉默|0.0.0.0|7000|password
老兵沉默复古经典|┏老兵沉默---8月22日20点开区┓|老兵沉默|0.0.0.0|7000|password
老兵沉默复古经典|┇老兵沉默五区-老兵金甲-电信┇|老兵沉默|61.147.247.246|7070|password
老兵沉默复古经典|┇老兵沉默五区-老兵金甲-网通┇|老兵沉默|61.147.247.246|7070|password
老兵沉默复古经典|┗┅┅┅┅┅┅┅┅┅┅┅┅┅┛|老兵沉默|0.0.0.0|7000|password
老兵沉默复古经典|-老兵特别版-梦回老兵-电信开放-|老兵沉默|61.147.247.246|7060|password
老兵沉默复古经典|-老兵特别版-梦回老兵-网通开放-|老兵沉默|61.147.247.246|7060|password
老兵沉默复古经典|┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅|老兵沉默|0.0.0.0|7000|password
老兵沉默复古经典|-四区前合入-老兵沉默-电信开放-|老兵沉默|61.147.247.246|7000|password
老兵沉默复古经典|-四区前合入-老兵沉默-网通开放-|老兵沉默|61.147.247.246|7000|password
老兵沉默复古经典|┅┅┅┅┅┅┅┅┅┅┅┅┅┅┅|老兵沉默|0.0.0.0|7000|password
老兵沉默复古经典|-----玩家交流群:362982449-----|老兵沉默|0.0.0.0|7000|password
老兵沉默复古经典|----官网:www.laobingcq.com----|老兵沉默|61.147.247.246|7070|password
